id,name,quantity,lane,is_disabled
1,1,2,"0x01, 0x02, 0x31, 0x01, 0x00, 0x00, 0x35",false
2,2,2,"0x01, 0x02, 0x31, 0x01, 0x01, 0x00, 0x36",false
3,3,2,"0x01, 0x02, 0x31, 0x01, 0x02, 0x00, 0x37",false
4,4,2,"0x01, 0x02, 0x31, 0x01, 0x03, 0x00, 0x38",false
5,5,2,"0x01, 0x02, 0x31, 0x01, 0x04, 0x00, 0x39",false
6,6,2,"0x01, 0x02, 0x31, 0x01, 0x05, 0x00, 0x3A",false
7,7,2,"0x01, 0x02, 0x31, 0x01, 0x06, 0x00, 0x3B",false
8,8,2,"0x01, 0x02, 0x31, 0x01, 0x0A, 0x00, 0x3F",false
9,9,2,"0x01, 0x02, 0x31, 0x01, 0x0B, 0x00, 0x40",false
10,10,2,"0x01, 0x02, 0x31, 0x01, 0x0C, 0x00, 0x41",false
11,11,2,"0x01, 0x02, 0x31, 0x01, 0x0D, 0x00, 0x42",false
12,12,2,"0x01, 0x02, 0x31, 0x01, 0x0E, 0x00, 0x43",false
13,13,2,"0x01, 0x02, 0x31, 0x01, 0x0F, 0x00, 0x44",false
14,14,2,"0x01, 0x02, 0x31, 0x01, 0x10, 0x00, 0x45",false
15,15,2,"0x01, 0x02, 0x31, 0x01, 0x14, 0x00, 0x49",false
16,16,2,"0x01, 0x02, 0x31, 0x01, 0x15, 0x00, 0x4A",false
17,17,2,"0x01, 0x02, 0x31, 0x01, 0x16, 0x00, 0x4B",false
18,18,2,"0x01, 0x02, 0x31, 0x01, 0x17, 0x00, 0x4C",false
19,19,2,"0x01, 0x02, 0x31, 0x01, 0x18, 0x00, 0x4D",false
20,20,2,"0x01, 0x02, 0x31, 0x01, 0x19, 0x00, 0x4E",false
21,21,2,"0x01, 0x02, 0x31, 0x01, 0x1A, 0x00, 0x4F",false
22,22,2,"0x01, 0x02, 0x31, 0x01, 0x1E, 0x00, 0x53",false
23,23,2,"0x01, 0x02, 0x31, 0x01, 0x1F, 0x00, 0x54",false
24,24,2,"0x01, 0x02, 0x31, 0x01, 0x20, 0x00, 0x55",false
25,25,2,"0x01, 0x02, 0x31, 0x01, 0x21, 0x00, 0x56",false
26,26,2,"0x01, 0x02, 0x31, 0x01, 0x22, 0x00, 0x57",false
27,27,2,"0x01, 0x02, 0x31, 0x01, 0x23, 0x00, 0x58",false
28,28,2,"0x01, 0x02, 0x31, 0x01, 0x24, 0x00, 0x59",false
29,29,2,"0x01, 0x02, 0x31, 0x01, 0x28, 0x00, 0x5D",false
30,30,2,"0x01, 0x02, 0x31, 0x01, 0x29, 0x00, 0x5E",false
31,31,2,"0x01, 0x02, 0x31, 0x01, 0x2A, 0x00, 0x5F",false
32,32,2,"0x01, 0x02, 0x31, 0x01, 0x2B, 0x00, 0x60",false
33,33,2,"0x01, 0x02, 0x31, 0x01, 0x2C, 0x00, 0x61",false
34,34,2,"0x01, 0x02, 0x31, 0x01, 0x2D, 0x00, 0x62",false
35,35,2,"0x01, 0x02, 0x31, 0x01, 0x2E, 0x00, 0x63",false
36,36,2,"0xFF, 0x01, 0x01, 0x01, 0x01, 0x01, 0x03",false
