id,redeem_code,voucher_type,voucher_status
1,Df6svVk7,CLASSIC,ready
2,wpd1LVAc,CLASSIC,ready
3,9BvDCrjc,SILVER,ready
4,WrgCUHT9,SILVER,ready
5,xtA9ppcJ,GOLD,ready
6,mgNL99xQ,GOLD,ready
7,DYSfwJMM,PLATINUM,ready
8,SwsfBTE0,PLATINUM,ready
9,6ADsdZh5,PLATINUM,ready
10,ex1CNez3,PLATINUM,ready
11,ruWDa7jr,PLATINUM,ready
12,BCxwzgo4,PLATINUM,ready
13,s5v6ForV,PLATINUM,ready
14,n2hSeF6w,PLATINUM,ready
15,6HhZuBHH,PLATINUM,ready
16,g7KaGk9h,PLATINUM,ready
17,JcZ8sMCr,PLATINUM,ready
18,K7rJ6VVt,PLATINUM,ready
19,rC7E0nFs,PLATINUM,ready
20,qUB0XGaS,PLATINUM,ready
21,r2adkDyE,PLATINUM,ready
22,4DzZ6QBw,PLATINUM,ready
23,uvOG6BS9,PLATINUM,ready
24,7CQdZ4i8,PLATINUM,ready
25,RMUBVhjO,PLATINUM,ready
26,hMYohBOo,SILVER,ready
27,8cRRm0xn,SILVER,ready
28,hBSvC393,SILVER,ready
29,8WnUkDnt,SILVER,ready
30,vxtnPy6L,SILVER,ready
31,9OjW5O9W,SILVER,ready
32,ehV9fc6F,SILVER,ready
33,h7GFAbqE,SILVER,ready
34,K9K7zw2N,SILVER,ready
35,XwuKaEL2,SILVER,ready
36,KhvYu7Mv,SILVER,ready
37,7Csnv4yA,SILVER,ready
38,1mEvi1DZ,SILVER,ready
39,sZjDvUv1,SILVER,ready
40,oeDkSbz2,SILVER,ready
41,Tea1UEj0,SILVER,ready
42,SCG89EN9,SILVER,ready
43,xhh1oE9b,SILVER,ready
44,UkhL9UP9,SILVER,ready
45,AKW6434Y,SILVER,ready
46,pe1v379R,SILVER,ready
47,YUOJNgMY,SILVER,ready
48,cw73S5xt,CLASSIC,ready
49,x9R99GY6,CLASSIC,ready
50,m6sWz3XD,CLASSIC,ready
51,z2rsLhbA,CLASSIC,ready
52,OPvm99KN,CLASSIC,ready
53,dGve2k2u,CLASSIC,ready
54,BHU8kyyK,CLASSIC,ready
55,JvK7N0XW,CLASSIC,ready
56,BJO14mP9,CLASSIC,ready
57,VZa94frh,CLASSIC,ready
58,zYw9qJgx,CLASSIC,ready
59,9T9VWfEM,CLASSIC,ready
60,Lt09wgrt,CLASSIC,ready
61,Czfaib0E,CLASSIC,ready
62,O9SbhO3L,CLASSIC,ready
63,VHSx9rp3,CLASSIC,ready
64,vjdaatXX,CLASSIC,ready
65,9a0oP7Eu,CLASSIC,ready
66,oT4sXQz7,CLASSIC,ready
67,h5gZjnPv,CLASSIC,ready
68,pSQHXRrm,PLATINUM,ready
69,5JpzGM0n,PLATINUM,ready
70,0jrLkTPa,PLATINUM,ready
71,dDfRhy9w,PLATINUM,ready
72,m26hDA4y,PLATINUM,ready
73,bOmBjPXd,PLATINUM,ready
74,irXgwTwi,PLATINUM,ready
75,a9m49Oq9,PLATINUM,ready
76,SNZDYUPL,PLATINUM,ready
77,3RY3qYGj,PLATINUM,ready
78,MgWrGPR7,PLATINUM,ready
79,X3nOt88P,PLATINUM,ready
80,di0NwG2F,PLATINUM,ready
81,Lj9FStdy,PLATINUM,ready
82,riETV9tP,PLATINUM,ready
83,vvB49Zb4,PLATINUM,ready
84,kA1WHMCr,PLATINUM,ready
85,kP2RGSOv,PLATINUM,ready
86,ZgYPD61K,PLATINUM,ready
87,qOMkW50h,PLATINUM,ready
88,NtY1aaYt,PLATINUM,ready
89,85d5xR74,PLATINUM,ready
90,9ahFXnCk,PLATINUM,ready
91,R83tK4ft,PLATINUM,ready
92,2BfSnPY9,PLATINUM,ready
93,XAonPti8,PLATINUM,ready
94,zCE52L7w,PLATINUM,ready
95,U6B2nYXr,PLATINUM,ready
96,Sf2nbNcQ,PLATINUM,ready
97,UbroyLwo,PLATINUM,ready
98,9BeUAvH8,PLATINUM,ready
99,FSB9FXWa,PLATINUM,ready
100,YedmdvBi,PLATINUM,ready
101,YedmdvBi,PLATINUM,ready
